"period_label","period_hour","time_offset_sec","timestamp","serving_bs_id","users_present","active_nodes"
NA,2,506,"2025-01-01 02:08:26","BS_7",0,0
NA,2,506,"2025-01-01 02:08:26","BS_8",0,0
"night",2,506,"2025-01-01 02:08:26","BS_9",1,1
"night",2,507,"2025-01-01 02:08:27","BS_1",1,1
"night",2,507,"2025-01-01 02:08:27","BS_10",1,1
"night",2,507,"2025-01-01 02:08:27","BS_11",0,0
NA,2,507,"2025-01-01 02:08:27","BS_2",0,0
NA,2,507,"2025-01-01 02:08:27","BS_3",0,0
"night",2,507,"2025-01-01 02:08:27","BS_4",1,1
"night",2,507,"2025-01-01 02:08:27","BS_5",0,0
"night",2,507,"2025-01-01 02:08:27","BS_6",0,0
NA,2,507,"2025-01-01 02:08:27","BS_7",0,0
NA,2,507,"2025-01-01 02:08:27","BS_8",0,0
"night",2,507,"2025-01-01 02:08:27","BS_9",1,1
"night",2,508,"2025-01-01 02:08:28","BS_1",0,0
"night",2,508,"2025-01-01 02:08:28","BS_10",1,1
"night",2,508,"2025-01-01 02:08:28","BS_11",0,0
NA,2,508,"2025-01-01 02:08:28","BS_2",0,0
NA,2,508,"2025-01-01 02:08:28","BS_3",0,0
"night",2,508,"2025-01-01 02:08:28","BS_4",1,1
"night",2,508,"2025-01-01 02:08:28","BS_5",0,0
"night",2,508,"2025-01-01 02:08:28","BS_6",0,0
NA,2,508,"2025-01-01 02:08:28","BS_7",0,0
NA,2,508,"2025-01-01 02:08:28","BS_8",0,0
"night",2,508,"2025-01-01 02:08:28","BS_9",1,1
"night",2,509,"2025-01-01 02:08:29","BS_1",0,0
"night",2,509,"2025-01-01 02:08:29","BS_10",1,1
"night",2,509,"2025-01-01 02:08:29","BS_11",0,0
NA,2,509,"2025-01-01 02:08:29","BS_2",0,0
NA,2,509,"2025-01-01 02:08:29","BS_3",0,0
"night",2,509,"2025-01-01 02:08:29","BS_4",1,1
"night",2,509,"2025-01-01 02:08:29","BS_5",0,0
"night",2,509,"2025-01-01 02:08:29","BS_6",0,0
NA,2,509,"2025-01-01 02:08:29","BS_7",0,0
NA,2,509,"2025-01-01 02:08:29","BS_8",0,0
"night",2,509,"2025-01-01 02:08:29","BS_9",1,1
"night",2,510,"2025-01-01 02:08:30","BS_1",0,0
"night",2,510,"2025-01-01 02:08:30","BS_10",1,1
"night",2,510,"2025-01-01 02:08:30","BS_11",0,0
NA,2,510,"2025-01-01 02:08:30","BS_2",0,0
NA,2,510,"2025-01-01 02:08:30","BS_3",0,0
"night",2,510,"2025-01-01 02:08:30","BS_4",1,1
"night",2,510,"2025-01-01 02:08:30","BS_5",0,0
"night",2,510,"2025-01-01 02:08:30","BS_6",1,1
NA,2,510,"2025-01-01 02:08:30","BS_7",0,0
NA,2,510,"2025-01-01 02:08:30","BS_8",0,0
"night",2,510,"2025-01-01 02:08:30","BS_9",1,1
"night",2,511,"2025-01-01 02:08:31","BS_1",0,0
"night",2,511,"2025-01-01 02:08:31","BS_10",1,1
"night",2,511,"2025-01-01 02:08:31","BS_11",0,0
NA,2,511,"2025-01-01 02:08:31","BS_2",0,0
NA,2,511,"2025-01-01 02:08:31","BS_3",0,0
"night",2,511,"2025-01-01 02:08:31","BS_4",1,1
"night",2,511,"2025-01-01 02:08:31","BS_5",0,0
"night",2,511,"2025-01-01 02:08:31","BS_6",0,0
NA,2,511,"2025-01-01 02:08:31","BS_7",0,0
NA,2,511,"2025-01-01 02:08:31","BS_8",0,0
"night",2,511,"2025-01-01 02:08:31","BS_9",1,1
"night",2,512,"2025-01-01 02:08:32","BS_1",0,0
"night",2,512,"2025-01-01 02:08:32","BS_10",1,1
"night",2,512,"2025-01-01 02:08:32","BS_11",0,0
NA,2,512,"2025-01-01 02:08:32","BS_2",0,0
NA,2,512,"2025-01-01 02:08:32","BS_3",0,0
