"time_offset_sec","BS_1","BS_10","BS_11","BS_2","BS_3","BS_4","BS_5","BS_6","BS_7","BS_8","BS_9"
150,12,10,12,11,4,12,10,13,5,4,7
151,12,10,12,11,4,12,10,13,5,4,7
152,12,10,12,11,4,12,10,13,5,4,7
153,12,10,12,11,4,12,10,13,5,4,7
154,12,10,12,11,4,12,10,13,5,4,7
155,12,10,12,10,5,12,10,13,5,4,7
156,12,10,12,10,5,12,10,13,5,4,7
157,12,10,12,10,5,12,10,13,5,4,7
158,12,10,12,10,5,12,10,13,5,4,7
159,12,10,12,10,5,12,10,13,5,4,7
160,12,10,12,10,5,12,10,13,5,4,7
161,12,10,12,10,5,12,10,13,5,4,7
162,12,10,12,11,4,12,10,13,5,4,7
163,12,10,12,11,4,12,10,13,5,4,7
164,12,10,12,11,4,11,10,14,5,4,7
165,12,10,12,11,4,12,10,13,5,4,7
166,12,10,12,11,4,12,10,13,5,4,7
167,12,10,12,11,4,12,10,13,5,4,7
168,12,10,12,11,4,12,10,13,5,4,7
169,12,10,12,11,4,12,10,13,5,4,7
170,12,10,12,11,4,12,10,13,5,4,7
171,12,10,12,11,4,12,10,13,5,4,7
172,12,10,12,11,4,12,10,13,5,4,7
173,12,10,12,11,4,12,10,13,5,4,7
174,12,10,12,11,4,12,10,13,5,4,7
175,12,10,12,11,4,12,10,13,5,4,7
176,12,10,12,11,4,11,10,14,5,4,7
177,12,10,12,11,4,12,10,13,5,4,7
178,12,10,12,11,4,12,10,13,5,4,7
179,12,10,12,11,4,11,10,14,5,4,7
180,12,10,12,11,4,11,10,14,5,4,7
181,12,10,12,11,4,11,10,14,5,4,7
182,12,10,12,11,4,11,10,14,5,4,7
183,12,10,12,11,4,11,10,14,5,4,7
184,12,10,12,11,4,11,10,14,5,4,7
185,12,10,12,11,4,11,10,14,5,4,7
186,12,10,12,11,4,11,10,14,5,4,7
187,12,10,12,11,4,11,10,14,5,4,7
188,12,10,12,11,4,11,10,14,5,4,7
189,12,10,12,11,4,11,10,14,5,4,7
190,12,10,12,11,4,11,10,14,5,4,7
191,12,10,12,11,4,11,10,14,5,4,7
192,12,10,12,11,4,11,10,14,5,4,7
193,12,10,12,10,4,12,10,13,6,4,7
194,12,10,12,10,4,12,10,13,6,4,7
195,12,10,12,10,4,11,10,14,6,4,7
196,12,10,12,10,4,11,10,14,6,4,7
197,12,10,12,10,4,11,10,14,6,4,7
198,12,10,12,10,4,11,10,14,6,4,7
199,12,10,12,10,4,11,10,14,6,4,7
200,12,10,12,10,4,11,10,14,6,4,7
201,13,10,12,10,4,11,10,13,6,4,7
202,13,10,12,10,4,11,10,13,6,4,7
203,13,10,12,10,4,11,10,13,6,4,7
204,13,10,12,10,4,11,10,13,6,4,7
205,13,10,12,10,4,11,10,13,6,4,7
206,13,10,12,10,4,11,10,13,6,4,7
207,13,10,12,10,4,10,10,14,6,4,7
208,12,10,12,10,4,11,10,14,6,4,7
209,13,10,12,10,4,12,10,12,6,4,7
210,13,10,12,10,4,12,10,12,6,4,7
211,13,10,12,10,4,12,10,12,6,4,7
212,13,10,12,10,4,12,10,12,6,4,7
213,13,10,12,10,4,12,10,12,6,4,7
214,13,10,12,10,4,12,10,12,6,4,7
215,13,10,12,10,4,12,10,12,6,4,7
216,13,10,12,10,4,12,10,12,6,4,7
217,13,10,12,10,4,12,10,12,6,4,7
218,13,10,12,10,4,12,10,12,6,4,7
219,13,10,12,10,4,12,10,12,6,4,7
220,13,10,12,10,4,12,10,12,6,4,7
221,13,10,12,10,4,12,10,12,6,4,7
222,13,10,12,10,4,12,10,12,6,4,7
223,13,10,12,10,4,12,10,12,6,4,7
224,13,10,12,10,4,12,10,12,6,4,7
225,13,10,12,10,4,12,10,12,6,4,7
226,13,10,12,10,4,12,10,12,6,4,7
227,13,10,12,10,4,12,10,12,6,4,7
228,13,10,12,10,4,12,10,12,6,4,7
229,14,10,12,10,4,11,10,12,6,4,7
230,14,10,12,10,4,11,10,12,6,4,7
231,14,10,12,10,4,12,10,11,6,4,7
232,14,10,12,10,4,12,10,11,6,4,7
233,14,10,12,10,4,12,10,11,6,4,7
234,14,10,12,10,4,12,10,11,6,4,7
235,14,10,12,10,4,12,10,11,6,4,7
236,14,10,12,10,4,12,10,11,6,4,7
237,14,10,12,10,4,11,10,12,6,4,7
238,14,10,12,10,4,11,10,12,6,4,7
239,14,10,12,10,4,11,10,12,6,4,7
240,14,10,12,11,4,12,10,11,5,4,7
241,13,10,12,10,4,12,10,12,6,4,7
242,13,10,12,11,4,12,10,12,5,4,7
243,13,10,12,11,4,12,10,12,5,4,7
244,13,10,12,11,4,12,10,12,5,4,7
245,12,10,12,10,4,12,10,13,6,4,7
246,12,10,12,10,4,12,10,13,6,4,7
247,13,10,12,10,4,12,10,12,6,4,7
248,14,10,12,10,4,12,10,11,6,4,7
249,14,10,12,10,4,12,10,11,6,4,7
250,13,10,12,10,4,12,10,12,6,4,7
251,12,10,12,10,4,11,10,14,6,4,7
252,13,10,12,10,4,12,10,12,6,4,7
253,12,10,12,10,4,12,10,13,6,4,7
254,12,10,12,10,4,12,10,13,6,4,7
255,12,10,12,10,4,12,10,13,6,4,7
256,12,10,12,10,4,12,10,13,6,4,7
257,12,10,12,10,4,12,10,13,6,4,7
258,12,10,12,10,4,12,10,13,6,4,7
259,12,10,12,10,4,12,10,13,6,4,7
260,13,10,12,10,4,12,10,12,6,4,7
261,13,10,12,10,4,12,10,12,6,4,7
262,13,10,12,10,4,12,10,12,6,4,7
263,13,10,12,10,4,12,10,12,6,4,7
264,13,10,12,10,4,12,10,12,6,4,7
265,13,10,12,10,4,12,10,12,6,4,7
266,13,10,12,10,4,11,10,13,6,4,7
267,13,10,12,10,4,11,10,13,6,4,7
268,13,10,12,10,4,11,10,13,6,4,7
269,13,10,12,10,4,11,10,13,6,4,7
270,13,10,12,10,4,11,10,13,6,4,7
271,13,10,12,10,4,12,10,12,6,4,7
272,13,10,12,10,4,11,10,13,6,4,7
273,13,10,12,10,4,11,10,13,6,4,7
274,13,10,12,10,4,11,10,13,6,4,7
275,13,10,12,10,4,11,10,13,6,4,7
276,12,10,12,10,4,11,10,14,6,4,7
277,13,10,12,10,4,11,10,13,6,4,7
278,12,10,12,10,4,11,10,14,6,4,7
279,13,10,12,10,4,11,10,13,6,4,7
280,13,10,12,10,4,11,10,13,6,4,7
281,13,10,12,10,4,11,10,13,6,4,7
282,13,10,12,10,4,11,10,13,6,4,7
283,13,10,12,10,4,11,10,13,6,4,7
284,13,10,12,10,4,11,10,13,6,4,7
285,13,10,12,10,4,11,10,13,6,4,7
286,13,10,12,10,4,11,10,13,6,4,7
287,13,10,12,10,4,11,10,13,6,4,7
288,13,10,12,10,4,11,10,13,6,4,7
289,14,10,12,10,4,11,10,12,6,4,7
290,14,10,12,10,4,11,10,12,6,4,7
291,14,10,12,10,4,11,10,12,6,4,7
292,14,10,12,10,4,11,10,12,6,4,7
293,14,10,12,10,4,11,10,12,6,4,7
294,14,10,12,9,5,11,10,12,6,4,7
295,14,10,12,9,5,11,10,12,6,4,7
296,14,10,12,9,5,11,10,12,6,4,7
297,14,10,12,9,5,11,10,12,6,4,7
298,14,10,12,9,5,11,10,12,6,4,7
299,14,10,12,9,5,11,10,12,6,4,7
300,14,10,12,9,5,11,10,12,6,4,7
301,14,10,12,10,4,10,10,13,6,4,7
302,14,10,12,9,5,10,10,13,6,4,7
303,14,9,12,9,5,10,11,13,6,4,7
304,14,9,12,10,4,11,11,12,6,4,7
305,13,9,12,10,4,10,11,14,6,4,7
306,13,9,12,10,4,10,11,14,6,4,7
307,13,9,12,10,4,10,11,14,6,4,7
308,13,9,12,10,4,10,11,14,6,4,7
309,13,9,12,10,4,10,11,14,6,4,7
310,13,10,12,10,4,10,10,14,6,4,7
311,13,10,12,9,5,10,10,14,6,4,7
312,13,10,12,10,4,10,10,14,6,4,7
313,14,10,12,10,4,10,10,13,6,4,7
314,14,10,12,10,4,10,10,13,6,4,7
315,13,10,12,10,4,10,10,14,6,4,7
316,12,10,12,10,4,10,10,15,6,4,7
317,13,10,12,9,5,10,10,14,6,4,7
318,13,10,12,9,5,10,10,14,6,4,7
319,13,10,12,10,4,10,10,14,6,4,7
320,14,10,12,10,4,10,10,13,6,4,7
321,14,10,12,10,4,10,10,13,6,4,7
322,14,10,12,10,4,10,10,13,6,4,7
323,14,10,12,10,4,10,10,13,6,4,7
324,13,10,12,9,5,10,10,14,6,4,7
325,12,10,12,10,4,10,10,15,6,4,7
326,13,10,12,10,4,10,10,14,6,4,7
327,11,10,12,10,4,10,10,16,6,4,7
328,12,10,12,10,4,10,10,15,6,4,7
329,12,10,12,10,4,10,10,15,6,4,7
330,13,10,12,10,4,10,10,14,6,4,7
331,13,10,12,10,4,10,10,14,6,4,7
332,12,10,12,10,4,10,10,15,6,4,7
333,12,10,12,10,4,10,10,15,6,4,7
334,12,10,12,10,4,10,10,15,6,4,7
335,11,10,12,10,4,10,10,16,6,4,7
336,11,10,12,10,4,10,10,16,6,4,7
337,11,10,12,10,4,10,10,16,6,4,7
338,11,10,12,10,4,10,10,16,6,4,7
339,12,10,12,9,4,10,10,15,7,4,7
340,12,10,12,10,4,10,10,15,6,4,7
341,12,10,12,8,5,10,10,15,7,4,7
342,12,10,12,8,5,10,10,15,7,4,7
343,12,10,12,8,5,10,10,15,7,4,7
344,12,10,12,8,5,10,10,15,7,4,7
345,11,10,12,8,5,10,10,16,7,4,7
346,11,10,12,8,5,10,10,16,7,4,7
347,11,10,12,8,5,10,10,16,7,4,7
348,11,10,12,8,5,10,10,16,7,4,7
349,11,10,12,8,5,10,10,16,7,4,7
350,11,10,12,9,4,10,10,16,7,4,7
351,11,10,12,9,4,10,10,16,7,4,7
352,11,10,12,9,4,10,10,16,7,4,7
353,11,10,12,9,4,10,10,16,7,4,7
354,11,10,12,9,4,10,10,16,7,4,7
355,12,10,12,9,4,10,10,15,7,4,7
356,12,10,12,9,4,10,10,15,7,4,7
357,12,10,12,9,4,10,10,15,7,4,7
358,12,10,12,9,4,10,10,15,7,4,7
359,12,10,12,9,4,10,10,15,7,4,7
360,10,10,12,9,4,10,10,17,7,4,7
361,12,10,12,9,4,10,10,15,7,4,7
362,11,10,12,9,4,10,10,16,7,4,7
363,11,11,12,9,4,10,10,16,7,4,6
364,11,11,12,9,4,10,10,16,7,4,6
365,11,11,12,9,4,10,10,16,7,4,6
366,12,10,12,9,4,10,10,15,7,4,7
367,12,10,12,9,4,10,10,15,7,4,7
368,11,10,12,9,4,10,10,16,7,4,7
369,11,10,12,9,4,10,10,16,7,4,7
370,11,11,12,9,4,10,10,16,7,4,6
371,11,11,12,9,4,10,10,16,7,4,6
372,11,10,12,9,4,10,10,16,7,4,7
373,11,10,12,9,4,10,10,16,7,4,7
374,11,10,12,9,4,10,10,16,7,4,7
375,11,10,12,9,4,10,10,16,7,4,7
376,12,10,12,9,4,10,10,15,7,4,7
377,11,10,12,9,4,10,10,16,7,4,7
378,11,10,12,9,4,10,10,16,7,4,7
379,11,10,12,9,4,10,10,16,7,4,7
380,11,10,12,9,4,10,10,16,7,4,7
381,11,10,12,9,4,10,10,16,7,4,7
382,11,10,12,9,4,10,10,16,7,4,7
383,11,11,12,8,5,10,10,16,7,4,6
384,10,11,12,8,5,10,10,17,7,4,6
385,10,11,12,8,5,10,10,17,7,4,6
386,10,11,12,8,5,10,10,17,7,4,6
387,10,11,12,8,5,10,10,17,7,4,6
388,11,11,12,8,5,10,10,16,7,4,6
389,11,11,12,8,5,10,10,16,7,4,6
390,11,11,12,8,5,10,10,16,7,4,6
391,11,11,12,8,5,10,10,16,7,4,6
392,12,11,12,8,5,10,10,15,7,4,6
393,11,11,12,8,5,10,10,16,7,4,6
394,12,11,12,8,5,10,10,15,7,4,6
395,12,11,12,8,5,10,10,15,7,4,6
396,12,11,12,8,5,10,10,15,7,4,6
397,12,11,12,8,5,10,10,15,7,4,6
398,12,11,12,8,5,10,10,15,7,4,6
399,12,11,12,8,5,10,10,15,7,4,6
400,12,11,12,8,5,11,10,14,7,4,6
401,12,11,12,9,4,11,10,14,7,4,6
402,12,11,12,9,4,10,10,15,7,4,6
403,12,11,12,10,4,11,10,14,6,4,6
404,12,11,12,9,4,11,10,14,7,4,6
405,12,11,12,9,5,11,10,14,6,4,6
406,12,11,12,9,5,11,10,14,6,4,6
407,12,11,12,9,5,11,10,14,6,4,6
408,12,11,12,9,5,11,10,14,6,4,6
409,12,11,12,9,5,11,10,14,6,4,6
410,12,11,12,9,5,11,10,14,6,4,6
411,12,11,12,9,4,12,9,14,6,5,6
412,12,11,12,9,5,11,10,14,6,4,6
413,12,11,12,9,5,10,9,15,6,5,6
414,12,11,12,9,5,11,9,14,6,5,6
415,12,11,12,9,5,11,9,14,6,5,6
416,12,11,12,9,5,11,9,14,6,5,6
417,12,11,12,9,5,11,9,14,6,5,6
418,12,11,12,9,5,10,9,15,6,5,6
419,12,11,12,9,5,11,9,14,6,5,6
420,12,11,12,9,5,10,9,15,6,5,6
421,12,11,12,9,5,11,9,14,6,5,6
422,12,11,12,9,4,12,9,14,6,5,6
423,12,11,12,9,4,12,9,14,6,5,6
424,12,11,12,9,4,12,9,14,6,5,6
425,12,11,12,9,4,11,9,15,6,5,6
426,12,11,12,9,4,11,10,15,6,4,6
427,12,11,12,9,4,11,10,15,6,4,6
428,12,11,12,9,4,11,10,15,6,4,6
429,12,11,12,9,5,10,10,15,6,4,6
430,12,11,12,9,5,11,9,14,6,5,6
431,12,11,12,9,5,11,9,14,6,5,6
432,12,11,12,9,5,10,9,15,6,5,6
433,12,11,12,9,5,10,9,15,6,5,6
434,12,11,12,9,5,10,9,15,6,5,6
435,12,11,12,9,5,10,9,15,6,5,6
436,12,11,12,9,5,10,9,15,6,5,6
437,12,11,12,9,4,11,9,15,6,5,6
438,12,11,12,9,5,10,9,15,6,5,6
439,12,11,12,9,4,11,9,15,6,5,6
440,12,11,12,9,5,11,9,14,6,5,6
441,12,11,12,9,5,10,9,15,6,5,6
442,12,11,12,9,5,10,10,15,6,4,6
443,12,11,12,9,5,10,10,15,6,4,6
444,12,11,12,9,5,11,10,14,6,4,6
445,12,11,12,9,5,11,10,14,6,4,6
446,12,11,12,9,5,11,10,14,6,4,6
447,12,11,12,9,5,10,10,15,6,4,6
448,12,11,12,9,5,10,10,15,6,4,6
449,12,11,12,9,5,10,10,15,6,4,6
450,12,11,12,9,5,10,10,15,6,4,6
451,12,11,12,9,5,10,10,15,6,4,6
452,13,11,12,9,5,10,10,14,6,4,6
453,13,11,12,9,5,11,9,13,6,5,6
454,13,11,12,9,5,11,9,13,6,5,6
455,13,11,12,9,5,11,9,13,6,5,6
456,13,10,12,9,5,11,9,13,6,5,7
457,12,11,12,9,5,11,9,14,6,5,6
458,12,11,12,9,5,11,9,14,6,5,6
459,12,11,12,9,5,11,9,14,6,5,6
460,12,11,12,9,5,11,9,14,6,5,6
461,13,11,12,9,5,11,9,13,6,5,6
462,13,11,12,9,5,11,9,13,6,5,6
463,13,11,12,9,5,11,9,13,6,5,6
464,13,11,12,9,5,11,9,13,6,5,6
465,13,11,12,9,5,11,9,13,6,5,6
466,13,11,12,9,5,11,9,13,6,5,6
467,13,11,12,9,5,11,9,13,6,5,6
468,13,11,12,9,5,11,9,13,6,5,6
469,13,11,12,9,5,11,9,13,6,5,6
470,13,11,12,9,5,11,9,13,6,5,6
471,13,11,12,9,5,11,9,13,6,5,6
472,13,11,12,9,5,11,9,13,6,5,6
473,13,11,12,9,5,11,9,13,6,5,6
474,13,11,12,9,5,11,9,13,6,5,6
475,13,11,12,9,5,11,9,13,6,5,6
476,13,11,12,9,5,11,9,13,6,5,6
477,13,11,12,9,5,11,9,13,6,5,6
478,13,11,12,9,5,11,9,13,6,5,6
479,13,11,12,9,5,12,9,12,6,5,6
480,13,11,12,9,5,12,9,12,6,5,6
481,13,11,12,9,5,12,9,12,6,5,6
482,13,11,12,9,5,11,9,13,6,5,6
483,13,11,12,9,5,11,9,13,6,5,6
484,13,11,12,9,5,11,9,13,6,5,6
485,13,11,12,9,5,11,9,13,6,5,6
486,13,11,12,9,5,11,9,13,6,5,6
487,13,11,12,9,5,12,9,12,6,5,6
488,13,11,12,9,5,12,9,12,6,5,6
